decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-19.374312,146.906176,2018-09-09T04:00:00Z,Casuarius casuarius,Southern Cassowary,9bc22f4b-bf3a-4b16-bddd-6a94c87da5d2,ALA species sightings and OzAtlas
-19.374312,146.906176,2018-09-09T04:00:00Z,Casuarius casuarius,Southern Cassowary,e49e059a-c398-4903-a58d-c4f6bbe77456,ALA species sightings and OzAtlas
-19.373988,146.906304,2017-09-09T15:12:12Z,Casuarius casuarius,Southern Cassowary,3a596482-3713-4a9f-8c9b-55d9a3547882,ALA species sightings and OzAtlas
-19.232919,145.456265,2011-05-05T14:00:00Z,Casuarius casuarius,Southern Cassowary,fe30a45f-c14e-4aa3-9fc9-e6d42bf28584,WildNet - Queensland Wildlife Data
-19.231667,146.392778,1991-08-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,5becb417-49b4-4d08-9eb2-41d329687b1d,WildNet - Queensland Wildlife Data
-19.215121,146.401109,1983-12-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,26543a53-c508-4eb7-8263-8ba4ca0d1d39,WildNet - Queensland Wildlife Data
-19.13835,145.423105,2011-05-05T14:00:00Z,Casuarius casuarius,Southern Cassowary,c3d8228d-3d2d-49dd-a28e-ebaba99a20f2,WildNet - Queensland Wildlife Data
-19.114824,146.375566,1991-04-01T02:00:00Z,Casuarius casuarius,Southern Cassowary,abb38be4-221a-4182-b7b3-9802ccc1757c,eBird Australia
-19.114824,146.375566,1990-12-01T01:00:00Z,Casuarius casuarius,Southern Cassowary,ebc1c22b-2ec4-42d9-a355-468a6a76b124,eBird Australia
-19.113732,146.37472,1990-11-30T13:00:00Z,Casuarius casuarius,Southern Cassowary,8b0be53e-7831-48b2-b278-0894b397520a,WildNet - Queensland Wildlife Data
-19.113732,146.37472,1991-03-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,dbb1f3a4-fb01-4977-bc87-dee74a2fc47b,WildNet - Queensland Wildlife Data
-19.020652,146.141724,2007-09-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,aa88c3cd-6eaf-4099-949a-7aa24ab7e0e7,WildNet - Queensland Wildlife Data
-19.016608,146.366052,2011-04-11T14:00:00Z,Casuarius casuarius,Southern Cassowary,31a7f695-5243-49ed-b93e-a1791ade79b7,WildNet - Queensland Wildlife Data
-19.01654,146.365772,2011-04-13T14:00:00Z,Casuarius casuarius,Southern Cassowary,13e6ad32-81ff-49af-b66b-3bef102dbd97,WildNet - Queensland Wildlife Data
-19.015771,146.161293,2007-10-15T14:00:00Z,Casuarius casuarius,Southern Cassowary,2291feb4-c7df-4b57-b184-9a6db4c7c13a,WildNet - Queensland Wildlife Data
-19.00882,146.20844,2012-01-07T06:00:00Z,Casuarius casuarius,Southern Cassowary,e6641ef3-ff06-4d23-bdcf-2fae080363e9,eBird Australia
-19.00882,146.20844,2010-03-15T14:00:00Z,Casuarius casuarius,Southern Cassowary,6c9f55e3-4441-4713-ad03-412d2fedb5d9,eBird Australia
-19.00882,146.20844,2010-03-16T00:00:00Z,Casuarius casuarius,Southern Cassowary,fe2322cd-37b9-42c6-927b-7f1a8151b29a,eBird Australia
-19.00833,146.20833,2013-08-04T00:15:00Z,Casuarius casuarius,Southern Cassowary,a6c4ab51-1c69-42fe-8e05-af0d5c9eb43c,eBird Australia
-19.00833,146.20833,2012-09-12T14:00:00Z,Casuarius casuarius,Southern Cassowary,e3c8d72c-8222-4412-813f-763edf4960f0,eBird Australia
