decimalLatitude,decimalLongitude,eventDate,species,recordID,dataResourceName,vernacularName
-19.85,146.9,1960-06-01T14:00:00Z,Syzygium kuranda,657b80a1-8a35-4c5a-84e4-2e952a7a12df,Centre for Australian National Biodiversity Research (CANB) AVH data,Cherry Penda
-19.433333,147,1995-12-29T14:00:00Z,Prunus turneriana,d5be738b-b5da-4eba-bbd2-1e3b8635f664,Australian Tropical Herbarium (CNS) AVH data,Almondbark
-19.29195,146.7898,2019-09-11T12:24:55Z,Barringtonia calyptrata,4beeb849-65f2-4adb-a6e4-0dd36198f2d6,ALA species sightings and OzAtlas,Cassowary Pine
-19.291916,146.788883,2013-10-26T14:00:00Z,Cerbera floribunda,49c14bed-6fbd-4103-a980-ac0b109c3632,BowerBird,Cassowary Plum
-19.291916,146.788883,2013-10-27T00:00:00Z,Cerbera floribunda,12835993-f84a-4a2f-9896-b034785d0d1f,iNaturalist Australia,Cassowary Plum
-19.291468,146.786583,2019-09-11T11:53:26Z,Barringtonia calyptrata,ec2176eb-a818-4d01-a13c-2fb658aa27e9,ALA species sightings and OzAtlas,Cassowary Pine
-19.291467,146.786583,2019-09-11T12:24:55Z,Barringtonia calyptrata,f2f66359-080b-4aea-9c6f-d7e1d328220a,ALA species sightings and OzAtlas,Cassowary Pine
-19.291467,146.786583,2019-09-11T11:54:13Z,Barringtonia calyptrata,9aa42914-0088-4513-9877-182ad8c28c97,ALA species sightings and OzAtlas,Cassowary Pine
-19.291458,146.786578,2019-09-11T11:54:10Z,Barringtonia calyptrata,2541e6c8-38e4-4946-9ef5-d5dfcc6e1404,ALA species sightings and OzAtlas,Cassowary Pine
-19.291453,146.78658,2019-09-11T11:54:13Z,Barringtonia calyptrata,e48f2221-cd92-4ddb-9a4c-fc16a49acc28,ALA species sightings and OzAtlas,Cassowary Pine
-19.29145,146.786583,2019-09-11T11:54:22Z,Barringtonia calyptrata,2cec4492-e74d-4ea4-99e0-de0252dc9eca,ALA species sightings and OzAtlas,Cassowary Pine
-19.29145,146.786583,2019-09-11T11:54:10Z,Barringtonia calyptrata,8d6e6872-c26a-473e-be64-7469c531eaae,ALA species sightings and OzAtlas,Cassowary Pine
-19.291446,146.786591,2019-09-11T11:54:22Z,Barringtonia calyptrata,fd7c78c0-42f8-46e2-b53f-3ccc454601fa,ALA species sightings and OzAtlas,Cassowary Pine
-19.290833,146.782417,2019-09-11T11:31:31Z,Syzygium cormiflorum,620fe5db-f32b-4dd5-9283-833b995dff64,ALA species sightings and OzAtlas,Watergum
-19.290833,146.782417,2019-09-11T11:31:31Z,Syzygium cormiflorum,bef13b12-bd61-4428-badb-b3528317623d,ALA species sightings and OzAtlas,Watergum
-19.290833,146.782417,2019-09-11T11:31:18Z,Syzygium cormiflorum,e4c5d5cb-2372-484b-8c67-1a5d2fe600f7,ALA species sightings and OzAtlas,Watergum
-19.290828,146.782419,2019-09-11T11:31:31Z,Syzygium cormiflorum,d13d6821-c136-4cb0-ac73-9f11e9ff6d79,ALA species sightings and OzAtlas,Watergum
-19.290826,146.78242,2019-09-11T11:31:18Z,Syzygium cormiflorum,53e3ac36-d8b4-4e2c-8586-bbc56855a7f6,ALA species sightings and OzAtlas,Watergum
-19.290801,146.7824,2019-09-11T11:30:41Z,Syzygium cormiflorum,97f11222-f8db-4ea8-87a0-052a4032907b,ALA species sightings and OzAtlas,Watergum
-19.2908,146.7824,2019-09-11T11:30:54Z,Syzygium cormiflorum,1e2f772c-8daf-44f8-a42c-55c0575441e7,ALA species sightings and OzAtlas,Watergum
-19.2908,146.7824,2019-09-11T11:30:52Z,Syzygium cormiflorum,d5c4efdb-b345-4b4b-bb3b-aa02790db2b2,ALA species sightings and OzAtlas,Watergum
-19.2908,146.7824,2019-09-11T11:30:50Z,Syzygium cormiflorum,529d8071-e6a4-4722-ada8-3f6aa359dc81,ALA species sightings and OzAtlas,Watergum
-19.2908,146.782383,2019-09-11T11:30:57Z,Syzygium cormiflorum,54a5dee7-d032-4a56-b9fc-3bb06ab5b9d2,ALA species sightings and OzAtlas,Watergum
-19.2908,146.782383,2019-09-11T11:30:57Z,Syzygium cormiflorum,999d73fb-6828-487a-ba11-dcf0e272ccc6,ALA species sightings and OzAtlas,Watergum
-19.290795,146.782398,2019-09-11T11:30:52Z,Syzygium cormiflorum,6f7ff02b-e64f-46bb-857f-39f080673c56,ALA species sightings and OzAtlas,Watergum
-19.290795,146.782395,2019-09-11T11:30:54Z,Syzygium cormiflorum,87a24738-cac8-495a-9c51-2d47fdcb28bc,ALA species sightings and OzAtlas,Watergum
-19.290794000000002,146.782388,2019-09-11T11:30:57Z,Syzygium cormiflorum,d591a8e2-2d75-4817-9fdc-16ffb2f9c719,ALA species sightings and OzAtlas,Watergum
-19.290793,146.782399,2019-09-11T11:30:50Z,Syzygium cormiflorum,46a87cec-8c27-4191-8cf5-82c11fd473dd,ALA species sightings and OzAtlas,Watergum
-19.251053,146.816248,2021-10-17T21:18:03Z,Barringtonia calyptrata,55e4417f-f2ca-45c4-841d-a6156aebf257,iNaturalist Australia,Cassowary Pine
-19.249033,146.814072,2022-10-22T01:50:32Z,Barringtonia calyptrata,f241b009-3627-4139-bd04-23a3ba7806ce,iNaturalist Australia,Cassowary Pine
-19.240278,146.452778,1977-10-15T14:00:00Z,Cryptocarya pleurosperma,1695fe40-01eb-4857-862a-188079d54835,James Cook University Herbarium (JCT) AVH data,Poison Laurel
-19.240278,146.452778,1977-10-15T14:00:00Z,Cryptocarya pleurosperma,8ccbccda-5ac6-4f69-886e-019c508ac456,James Cook University Herbarium (JCT) AVH data,Poison Laurel
-18.916667,145.8,1949-10-31T14:00:00Z,Faradaya splendida,8a2a0fa5-32c5-4eab-8425-b53916eb9e07,Centre for Australian National Biodiversity Research (CANB) AVH data,Glory Vine
-18.856792,145.809448,1949-10-31T14:00:00Z,Faradaya splendida,af09be95-4a7a-4bc2-a164-e4e62689376c,BRI AVH Data and Images,Glory Vine
-18.75,145.75,1866-10-23T13:47:52Z,Castanospora alphandii,c606591c-716c-45aa-815e-d3b61b1f3ade,National Herbarium of Victoria (MEL) AVH data,Brown Tamarind
-18.75,145.75,1864-07-15T13:47:52Z,Castanospora alphandii,6aae11c3-2610-4c69-9476-b173325be479,National Herbarium of Victoria (MEL) AVH data,Brown Tamarind
-18.6,146.2,2021-07-31T05:57:00Z,Syzygium cormiflorum,05a2bb68-baaf-42b1-a705-446eef9cec80,Earth Guardians Weekly Feed,Watergum
-18.581789,146.251109,1958-12-30T14:00:00Z,Barringtonia calyptrata,70b0f73e-6ba4-48f6-9fe3-886eb52ead6f,BRI AVH Data and Images,Cassowary Pine
-18.532778,146.1875,1994-10-01T14:00:00Z,Faradaya splendida,a42e544d-788f-4502-a511-31d0badbec7a,James Cook University Herbarium (JCT) AVH data,Glory Vine
-18.5,146.0167,1869-09-12T13:47:52Z,Faradaya splendida,da76fbf1-11e3-445a-bbd4-1baae811ca5f,National Herbarium of Victoria (MEL) AVH data,Glory Vine
-18.5,145.75,1975-06-18T14:00:00Z,Syzygium cormiflorum,1bb59507-39fd-4c75-b1a1-4eb65c1252d3,Australian Tropical Herbarium (CNS) AVH data,Watergum
-18.5,145.75,1975-06-18T14:00:00Z,Syzygium cormiflorum,ed47b8ca-b9e9-4eac-98ab-b1a83ddfedaf,Australian Tropical Herbarium (CNS) AVH data,Watergum
-18.5,145.75,1975-07-02T14:00:00Z,Prunus turneriana,f1813101-5a54-451f-b99d-e43454883396,Australian Tropical Herbarium (CNS) AVH data,Almondbark
-18.440128,145.709444,1992-04-25T14:00:00Z,Syzygium cormiflorum,79bbc60f-f7ab-4a65-b68b-b05efd245c26,BRI AVH Data and Images,Watergum
-18.426726,146.123329,1988-10-19T14:00:00Z,Syzygium cormiflorum,8b682f2f-5fff-4c6a-8664-114d1eba6b3b,BRI AVH Data and Images,Watergum
-18.415746,145.945877,2019-08-21T04:25:00Z,Syzygium cormiflorum,77b759c8-3c4c-47b4-a8d3-e4ead571dc64,iNaturalist Australia,Watergum
-18.4,146.0833,1866-09-14T13:47:52Z,Faradaya splendida,cfe318dd-cae8-4d21-93c9-dfd737b226e6,National Herbarium of Victoria (MEL) AVH data,Glory Vine
-18.4,146.0833,1865-02-11T13:47:52Z,Syzygium cormiflorum,fa193aa6-f0b3-449d-8d9c-8cda1ac8f781,National Herbarium of Victoria (MEL) AVH data,Watergum
-18.4,145.8667,1867-06-22T13:47:52Z,Castanospora alphandii,1222a92b-3eeb-46d8-8d3a-941d2a6cfb62,National Herbarium of Victoria (MEL) AVH data,Brown Tamarind
-18.373461,145.959444,1992-05-28T14:00:00Z,Faradaya splendida,9a813265-949a-4fc2-8329-359468ae5aea,BRI AVH Data and Images,Glory Vine
-18.283333,146.023889,1974-08-24T14:00:00Z,Faradaya splendida,67ff29a3-9ff0-4c98-b31e-8079e285b89d,James Cook University Herbarium (JCT) AVH data,Glory Vine
-18.266378,145.802056,1988-09-30T14:00:00Z,Prunus turneriana,17deda0b-4cdd-4efb-8814-fe693d4a79f3,BRI AVH Data and Images,Almondbark
-18.25,145.9167,1869-04-16T13:47:52Z,Syzygium cormiflorum,c1a11a2e-e524-4a55-881b-06e7a500807b,National Herbarium of Victoria (MEL) AVH data,Watergum
-18.248461,145.751111,1947-08-01T14:00:00Z,Syzygium cormiflorum,cfe10674-9c95-487d-a535-c344c145787c,BRI AVH Data and Images,Watergum
-18.248461,145.917778,1935-09-26T14:00:00Z,Faradaya splendida,ac38e979-a219-44f6-bd9c-2b8e59fc5e2c,BRI AVH Data and Images,Glory Vine
-18.248461,145.751111,1947-08-01T14:00:00Z,Prunus turneriana,84f1a364-838e-4adc-b8ad-b528a4f1d60c,BRI AVH Data and Images,Almondbark
-18.206954,145.765303,1988-09-30T14:00:00Z,Castanospora alphandii,f55417de-b72a-4423-a6ad-2a6b8d59468c,BRI AVH Data and Images,Brown Tamarind
-18.206954,145.765303,1988-09-30T14:00:00Z,Syzygium kuranda,5bece922-7756-4fe6-89d3-63af3a33444f,BRI AVH Data and Images,Cherry Penda
-18.206794,145.759444,1947-07-31T14:00:00Z,Castanospora alphandii,71be81c5-857a-437c-bb00-cece4c21286d,BRI AVH Data and Images,Brown Tamarind
-18.173461,145.842778,1967-10-18T14:00:00Z,Endiandra montana,c91b2def-ce0e-40bd-965f-818f9630c5f7,BRI AVH Data and Images,Brown Walnut
-18.15,145.633333,1967-10-18T14:00:00Z,Endiandra montana,a5029143-691c-4c9e-9f01-0f9235a9a9cc,Australian Tropical Herbarium (CNS) AVH data,Brown Walnut
-18.15,145.633333,1967-10-18T14:00:00Z,Endiandra montana,7adebfda-b456-450d-98fc-eb942eb2245c,Australian Tropical Herbarium (CNS) AVH data,Brown Walnut
-18.15,145.633333,1967-10-18T14:00:00Z,Endiandra montana,a263666e-ab6f-4314-a992-1f388b2e9497,Australian Tropical Herbarium (CNS) AVH data,Brown Walnut
-18.140125,146.276105,1976-10-20T14:00:00Z,Syzygium cormiflorum,d9f5534f-e7ee-41fa-b1a4-d32c9f2ade4d,BRI AVH Data and Images,Watergum
-18.116667,145.766667,1977-11-15T14:00:00Z,Castanospora alphandii,382444e3-1031-4e81-993b-59e66c125cdb,James Cook University Herbarium (JCT) AVH data,Brown Tamarind
-18.116667,145.783333,1977-11-15T14:00:00Z,Faradaya splendida,d53752a0-5d30-4407-8751-c8c86493849c,James Cook University Herbarium (JCT) AVH data,Glory Vine
-18.116667,145.616667,1969-05-18T14:00:00Z,Syzygium cormiflorum,06fd8789-bed7-4348-a3ae-2acdba1b8235,James Cook University Herbarium (JCT) AVH data,Watergum
-18.116667,145.766667,1977-06-20T14:00:00Z,Syzygium cormiflorum,f3362697-d7a7-419f-b894-a6176d6c8364,James Cook University Herbarium (JCT) AVH data,Watergum
-18.1,145.8167,1869-11-09T13:47:52Z,Castanospora alphandii,12f5477b-6a84-4a01-950d-351378fd79fa,National Herbarium of Victoria (MEL) AVH data,Brown Tamarind
-18.1,146.0167,1868-07-13T13:47:52Z,Syzygium cormiflorum,ac607ee0-4a8a-4e10-b7c9-ed450090b28a,National Herbarium of Victoria (MEL) AVH data,Watergum
