"species","decimalLatitude","decimalLongitude"
"Pardalotus punctatus",-34.221003,150.97631
"Pardalotus punctatus",-37.8852,144.798
"Pardalotus punctatus",-35.99186,137.0098
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-37.5777,145.217
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.2916,143.0924
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-42.953584,147.698861
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.946,145.2548
"Pardalotus punctatus",-36.3454,145.9565
"Pardalotus punctatus",-27.456738,152.909401
"Pardalotus punctatus",-38.150015,144.377561
"Pardalotus punctatus",-33.915111,148.034541
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-34.755527,142.338438
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.3864,146.0552
"Pardalotus punctatus",-37.4934,144.5381
"Pardalotus punctatus",-27.556745,151.992751
"Pardalotus punctatus",-17.4667,145.25
"Pardalotus punctatus",-17.5917,145.3
"Pardalotus punctatus",-37.313,145.8078
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-32.963697,151.471142
"Pardalotus punctatus",-37.6037,145.2085
"Pardalotus punctatus",-37.7851,144.5682
"Pardalotus punctatus",-35.137001,137.068076
"Pardalotus punctatus",-37.9041,146.3671
"Pardalotus punctatus",-28.360938,152.741868
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-37.7256,143.6491
"Pardalotus punctatus",-32.25,149.75
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-33.782671,150.981901
"Pardalotus punctatus",-37.7365,144.6129
"Pardalotus punctatus",-27.623409,152.292747
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.645,145.2585
"Pardalotus punctatus",-33.915111,148.034541
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-37.4665,145.8325
"Pardalotus punctatus",-37.7099,145.1367
"Pardalotus punctatus",-36.1604,144.2848
"Pardalotus punctatus",-37.5961,145.2981
"Pardalotus punctatus",-38.3869,144.1246
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.7784,148.9152
"Pardalotus punctatus",-37.6673,148.7003
"Pardalotus punctatus",-17.5917,145.3
"Pardalotus punctatus",-37.6994,145.1551
"Pardalotus punctatus",-37.4229,145.8965
"Pardalotus punctatus",-36.8022,144.3285
"Pardalotus punctatus",-34.221003,150.97631
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.322,145.8111
"Pardalotus punctatus",-35.9473,137.24325
"Pardalotus punctatus",-36.8515,146.1156
"Pardalotus punctatus",-37.642,145.2359
"Pardalotus punctatus",-37.9594,145.3717
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.422,145.8976
"Pardalotus punctatus",-37.6261,145.2566
"Pardalotus punctatus",-37.461,148.3428
"Pardalotus punctatus",-36.0215,137.14264
"Pardalotus punctatus",-38.0251,145.4352
"Pardalotus punctatus",-35.5827,142.047
"Pardalotus punctatus",-38.14954,144.38035
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.6111,145.2162
"Pardalotus punctatus",-37.9901,145.3763
"Pardalotus punctatus",-37.6485,144.5013
"Pardalotus punctatus",-38.0496,146.2917
"Pardalotus punctatus",-28.560967,153.405939
"Pardalotus punctatus",-37.2093,148.6426
"Pardalotus punctatus",-35.16363,149.39883
"Pardalotus punctatus",-18.1333,144.8167
"Pardalotus punctatus",-37.6052,145.2481
"Pardalotus punctatus",-37.4679,144.3976
"Pardalotus punctatus",-37.7167,144.617
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-34.88174,138.78522
"Pardalotus punctatus",-36.00536,137.01969
"Pardalotus punctatus",-37.7514,148.8032
"Pardalotus punctatus",-33.89527,150.975
"Pardalotus punctatus",NA,NA
"Pardalotus punctatus",-36.7401,144.2142
"Pardalotus punctatus",-37.6201,145.276
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.8941,146.3592
"Pardalotus punctatus",-37.6111,145.2162
"Pardalotus punctatus",-36.7401,144.2142
"Pardalotus punctatus",-37.68382,145.53279
"Pardalotus punctatus",-35.79881,137.8675
"Pardalotus punctatus",-26.473333,147.917778
"Pardalotus punctatus",-36.7232,144.264
"Pardalotus punctatus",-38.14954,144.38035
"Pardalotus punctatus",-37.7464,148.6476
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.5825,148.097
"Pardalotus punctatus",-37.9145,146.2999
"Pardalotus punctatus",-34.8383,138.84287
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-31.27331,149.263034
"Pardalotus punctatus",-37.8401,146.3596
"Pardalotus punctatus",-37.62,145.2726
"Pardalotus punctatus",-37.6146,144.7403
"Pardalotus punctatus",-37.8936,145.4403
"Pardalotus punctatus",-33.652556,151.040554
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-42.9786183,147.3210412
"Pardalotus punctatus",-37.559369,145.89852
"Pardalotus punctatus",-37.9068,146.3716
"Pardalotus punctatus",-37.4737,145.9285
"Pardalotus punctatus",-27.556757,149.867785
"Pardalotus punctatus",-37.5871,145.3029
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-33.782671,150.981901
"Pardalotus punctatus",-29.373411,153.126075
"Pardalotus punctatus",-38.0256,145.4056
