species,vernacularName,link,media_id,creator,license,combined_names,colour,checkbox_label,attribution
Barringtonia calyptrata,Cassowary Pine,https://apps.lucidcentral.org/rainforest/text/entities/barringtonia_calyptrata.htm,e55fb839-5592-447d-920d-2dc8d1334e9e,M. Fagg (Australian Plant Image Index),CC BY 3.0,Barringtonia calyptrata (Cassowary Pine),#125A56,<i class='fa fa-circle' style='color: #125A56; margin-right: 5px;'></i>Cassowary Pine (<i>Barringtonia calyptrata</i>)</span><br>,Cassowary Pine(<i>Barringtonia calyptrata</i>) Photo Credit by M. Fagg (Australian Plant Image Index) CC BY 3.0<br>
Calophyllum costatum,Red Touriga,https://apps.lucidcentral.org/rainforest/text/entities/calophyllum_costatum.htm,2d7b3838-d2de-4db3-bb99-57cc69689c65,Unknown (APII),CC BY 3.0,Calophyllum costatum (Red Touriga),#00767B,<i class='fa fa-circle' style='color: #00767B; margin-right: 5px;'></i>Red Touriga (<i>Calophyllum costatum</i>)</span><br>,Red Touriga(<i>Calophyllum costatum</i>) Photo Credit by Unknown (APII) CC BY 3.0<br>
Castanospora alphandii,Brown Tamarind,https://apps.lucidcentral.org/rainforest/text/entities/castanospora_alphandii.htm,69b35b25-d17b-4612-acbb-51f1098ba4c8,Bat Mum,CC BY NC 4.0,Castanospora alphandii (Brown Tamarind),#238F9D,<i class='fa fa-circle' style='color: #238F9D; margin-right: 5px;'></i>Brown Tamarind (<i>Castanospora alphandii</i>)</span><br>,Brown Tamarind(<i>Castanospora alphandii</i>) Photo Credit by Bat Mum CC BY NC 4.0<br>
Cerbera floribunda,Cassowary Plum,https://apps.lucidcentral.org/rainforest/text/entities/cerbera_floribunda.htm,975bc10f-3596-438d-a43a-f5f757e9e3c4,Dion Maple,CC BY NC 4.0,Cerbera floribunda (Cassowary Plum),#42A7C6,<i class='fa fa-circle' style='color: #42A7C6; margin-right: 5px;'></i>Cassowary Plum (<i>Cerbera floribunda</i>)</span><br>,Cassowary Plum(<i>Cerbera floribunda</i>) Photo Credit by Dion Maple CC BY NC 4.0<br>
Corynocarpus cribbianus,Cribwood,https://apps.lucidcentral.org/rainforest/text/entities/corynocarpus_cribbianus.htm,9defc263-f0a0-4cb0-b21b-2ce824c89331,Unknown (APII),CC BY 3.0,Corynocarpus cribbianus (Cribwood),#60BCE9,<i class='fa fa-circle' style='color: #60BCE9; margin-right: 5px;'></i>Cribwood (<i>Corynocarpus cribbianus</i>)</span><br>,Cribwood(<i>Corynocarpus cribbianus</i>) Photo Credit by Unknown (APII) CC BY 3.0<br>
Cryptocarya oblata,Bolly Silkwood,https://apps.lucidcentral.org/rainforest/text/entities/cryptocarya_oblata.htm,45c500b5-2317-457e-a840-33fe98f44e7a,Unknown (APII),CC BY 3.0,Cryptocarya oblata (Bolly Silkwood),#9DCCEF,<i class='fa fa-circle' style='color: #9DCCEF; margin-right: 5px;'></i>Bolly Silkwood (<i>Cryptocarya oblata</i>)</span><br>,Bolly Silkwood(<i>Cryptocarya oblata</i>) Photo Credit by Unknown (APII) CC BY 3.0<br>
Cryptocarya pleurosperma,Poison Laurel,https://apps.lucidcentral.org/rainforest/text/entities/cryptocarya_pleurosperma.htm,5999f93c-cd6d-4628-b13a-a18d68dc1b30,Wairambar Rainforest,CC BY NC 4.0,Cryptocarya pleurosperma (Poison Laurel),#C6DBED,<i class='fa fa-circle' style='color: #C6DBED; margin-right: 5px;'></i>Poison Laurel (<i>Cryptocarya pleurosperma</i>)</span><br>,Poison Laurel(<i>Cryptocarya pleurosperma</i>) Photo Credit by Wairambar Rainforest CC BY NC 4.0<br>
Elaeocarpus bancroftii,Quandong,https://apps.lucidcentral.org/rainforest/text/entities/elaeocarpus_bancroftii.htm,829acb9c-0a6f-4ed7-a965-202201267ddb,Damon Tighe,CC BY NC 4.0,Elaeocarpus bancroftii (Quandong),#F0E6B2,<i class='fa fa-circle' style='color: #F0E6B2; margin-right: 5px;'></i>Quandong (<i>Elaeocarpus bancroftii</i>)</span><br>,Quandong(<i>Elaeocarpus bancroftii</i>) Photo Credit by Damon Tighe CC BY NC 4.0<br>
Endiandra montana,Brown Walnut,https://apps.lucidcentral.org/rainforest/text/entities/endiandra_montana.htm,0033f7bc-c341-4ac2-9ea9-422611b9ff4e,M. Fagg (APII),CC BY 3.0,Endiandra montana (Brown Walnut),#F9D576,<i class='fa fa-circle' style='color: #F9D576; margin-right: 5px;'></i>Brown Walnut (<i>Endiandra montana</i>)</span><br>,Brown Walnut(<i>Endiandra montana</i>) Photo Credit by M. Fagg (APII) CC BY 3.0<br>
Faradaya splendida,Glory Vine,https://apps.lucidcentral.org/rainforest/text/entities/oxera_splendida.htm,dd03cb6b-d36d-4dab-944b-ad8c18d56927,dhfischer,CC BY NC 4.0,Faradaya splendida (Glory Vine),#FFB954,<i class='fa fa-circle' style='color: #FFB954; margin-right: 5px;'></i>Glory Vine (<i>Faradaya splendida</i>)</span><br>,Glory Vine(<i>Faradaya splendida</i>) Photo Credit by dhfischer CC BY NC 4.0<br>
Monoon michaelii,Canary Beech,https://apps.lucidcentral.org/rainforest/text/entities/monoon_michaelii.htm,dc894ef4-b137-4cef-8987-da0f31916c21,Matthew Connors,CC BY NC 4.0,Monoon michaelii (Canary Beech),#FD9A44,<i class='fa fa-circle' style='color: #FD9A44; margin-right: 5px;'></i>Canary Beech (<i>Monoon michaelii</i>)</span><br>,Canary Beech(<i>Monoon michaelii</i>) Photo Credit by Matthew Connors CC BY NC 4.0<br>
Prunus turneriana,Almondbark,https://apps.lucidcentral.org/rainforest/text/entities/prunus_turneriana.htm,db0e51aa-c497-42f3-8651-ac0123dfe002,Russell Cumming,CC BY NC 4.0,Prunus turneriana (Almondbark),#F57634,<i class='fa fa-circle' style='color: #F57634; margin-right: 5px;'></i>Almondbark (<i>Prunus turneriana</i>)</span><br>,Almondbark(<i>Prunus turneriana</i>) Photo Credit by Russell Cumming CC BY NC 4.0<br>
Syzygium cormiflorum,Watergum,https://apps.lucidcentral.org/rainforest/text/entities/syzygium_cormiflorum.htm,a36ed652-6f83-4cac-b8d5-dbdaf51ffbd6,Frankaz,CC BY NC 4.0,Syzygium cormiflorum (Watergum),#E94C1F,<i class='fa fa-circle' style='color: #E94C1F; margin-right: 5px;'></i>Watergum (<i>Syzygium cormiflorum</i>)</span><br>,Watergum(<i>Syzygium cormiflorum</i>) Photo Credit by Frankaz CC BY NC 4.0<br>
Syzygium divaricatum,Cassowary Satinash,https://apps.lucidcentral.org/rainforest/text/entities/syzygium_divaricatum.htm,c0cba215-45d2-4d59-914e-8caf28f9397e,Russell Cumming,CC BY NC 4.0,Syzygium divaricatum (Cassowary Satinash),#D11807,<i class='fa fa-circle' style='color: #D11807; margin-right: 5px;'></i>Cassowary Satinash (<i>Syzygium divaricatum</i>)</span><br>,Cassowary Satinash(<i>Syzygium divaricatum</i>) Photo Credit by Russell Cumming CC BY NC 4.0<br>
Syzygium kuranda,Cherry Penda,https://apps.lucidcentral.org/rainforest/text/entities/syzygium_kuranda.htm,c8ce517b-0442-4f95-852b-784541c1dd0a,Paluma,CC BY NC 4.0,Syzygium kuranda (Cherry Penda),#A01813,<i class='fa fa-circle' style='color: #A01813; margin-right: 5px;'></i>Cherry Penda (<i>Syzygium kuranda</i>)</span><br>,Cherry Penda(<i>Syzygium kuranda</i>) Photo Credit by Paluma CC BY NC 4.0<br>
