species,vernacularName,link,combined_names,colour,checkbox_label
Beilschmiedia oligandra,Dogwood,https://apps.lucidcentral.org/rainforest/text/entities/beilschmiedia_oligandra.htm,Beilschmiedia oligandra (Dogwood),#125A56,<i class='fa fa-circle' style='color: #125A56; margin-right: 5px;'></i><i>Beilschmiedia oligandra</i><br>(Dogwood)</span><br><img src='Beilschmiedia oligandra.jpg' style='max-width: 150px; max-height: 120px;' />
Beilschmiedia volckii,Blush Walnut,https://apps.lucidcentral.org/rainforest/text/entities/beilschmiedia_volckii.htm,Beilschmiedia volckii (Blush Walnut),#00767B,<i class='fa fa-circle' style='color: #00767B; margin-right: 5px;'></i><i>Beilschmiedia volckii</i><br>(Blush Walnut)</span><br><img src='Beilschmiedia volckii.jpg' style='max-width: 150px; max-height: 120px;' />
Calophyllum costatum,Red Touriga,https://apps.lucidcentral.org/rainforest/text/entities/calophyllum_costatum.htm,Calophyllum costatum (Red Touriga),#238F9D,<i class='fa fa-circle' style='color: #238F9D; margin-right: 5px;'></i><i>Calophyllum costatum</i><br>(Red Touriga)</span><br><img src='Calophyllum costatum.jpg' style='max-width: 150px; max-height: 120px;' />
Castanospora alphandii,Brown Tamarind,https://apps.lucidcentral.org/rainforest/text/entities/castanospora_alphandii.htm,Castanospora alphandii (Brown Tamarind),#42A7C6,<i class='fa fa-circle' style='color: #42A7C6; margin-right: 5px;'></i><i>Castanospora alphandii</i><br>(Brown Tamarind)</span><br><img src='Castanospora alphandii.jpg' style='max-width: 150px; max-height: 120px;' />
Cerbera floribunda,Cassowary Plum,https://apps.lucidcentral.org/rainforest/text/entities/cerbera_floribunda.htm,Cerbera floribunda (Cassowary Plum),#60BCE9,<i class='fa fa-circle' style='color: #60BCE9; margin-right: 5px;'></i><i>Cerbera floribunda</i><br>(Cassowary Plum)</span><br><img src='Cerbera floribunda.jpg' style='max-width: 150px; max-height: 120px;' />
Corynocarpus cribbianus,Cribwood,https://apps.lucidcentral.org/rainforest/text/entities/corynocarpus_cribbianus.htm,Corynocarpus cribbianus (Cribwood),#9DCCEF,<i class='fa fa-circle' style='color: #9DCCEF; margin-right: 5px;'></i><i>Corynocarpus cribbianus</i><br>(Cribwood)</span><br><img src='Corynocarpus cribbianus.jpg' style='max-width: 150px; max-height: 120px;' />
Cryptocarya oblata,Bolly Silkwood,https://apps.lucidcentral.org/rainforest/text/entities/cryptocarya_oblata.htm,Cryptocarya oblata (Bolly Silkwood),#C6DBED,<i class='fa fa-circle' style='color: #C6DBED; margin-right: 5px;'></i><i>Cryptocarya oblata</i><br>(Bolly Silkwood)</span><br><img src='Cryptocarya oblata.jpg' style='max-width: 150px; max-height: 120px;' />
Cryptocarya pleurosperma,Poison Laurel,https://apps.lucidcentral.org/rainforest/text/entities/cryptocarya_pleurosperma.htm,Cryptocarya pleurosperma (Poison Laurel),#F0E6B2,<i class='fa fa-circle' style='color: #F0E6B2; margin-right: 5px;'></i><i>Cryptocarya pleurosperma</i><br>(Poison Laurel)</span><br><img src='Cryptocarya pleurosperma.jpg' style='max-width: 150px; max-height: 120px;' />
Elaeocarpus stellaris,Quandong,https://apps.lucidcentral.org/rainforest/text/entities/elaeocarpus_stellaris.htm,Elaeocarpus stellaris (Quandong),#F9D576,<i class='fa fa-circle' style='color: #F9D576; margin-right: 5px;'></i><i>Elaeocarpus stellaris</i><br>(Quandong)</span><br><img src='Elaeocarpus stellaris.jpg' style='max-width: 150px; max-height: 120px;' />
Endiandra montana,Brown Walnut,https://apps.lucidcentral.org/rainforest/text/entities/endiandra_montana.htm,Endiandra montana (Brown Walnut),#FFB954,<i class='fa fa-circle' style='color: #FFB954; margin-right: 5px;'></i><i>Endiandra montana</i><br>(Brown Walnut)</span><br><img src='Endiandra montana.jpg' style='max-width: 150px; max-height: 120px;' />
Endiandra sankeyana,Sankey's Walnut,https://apps.lucidcentral.org/rainforest/text/entities/endiandra_sankeyana.htm,Endiandra sankeyana (Sankey's Walnut),#FD9A44,<i class='fa fa-circle' style='color: #FD9A44; margin-right: 5px;'></i><i>Endiandra sankeyana</i><br>(Sankey's Walnut)</span><br><img src='Endiandra sankeyana.jpg' style='max-width: 150px; max-height: 120px;' />
Faradaya splendida,Glory Vine,https://apps.lucidcentral.org/rainforest/text/entities/oxera_splendida.htm,Faradaya splendida (Glory Vine),#F57634,<i class='fa fa-circle' style='color: #F57634; margin-right: 5px;'></i><i>Faradaya splendida</i><br>(Glory Vine)</span><br><img src='Faradaya splendida.jpg' style='max-width: 150px; max-height: 120px;' />
Monoon michaelii,Canary Beech,https://apps.lucidcentral.org/rainforest/text/entities/monoon_michaelii.htm,Monoon michaelii (Canary Beech),#E94C1F,<i class='fa fa-circle' style='color: #E94C1F; margin-right: 5px;'></i><i>Monoon michaelii</i><br>(Canary Beech)</span><br><img src='Monoon michaelii.jpg' style='max-width: 150px; max-height: 120px;' />
Syzygium cormiflorum,Watergum,https://apps.lucidcentral.org/rainforest/text/entities/syzygium_cormiflorum.htm,Syzygium cormiflorum (Watergum),#D11807,<i class='fa fa-circle' style='color: #D11807; margin-right: 5px;'></i><i>Syzygium cormiflorum</i><br>(Watergum)</span><br><img src='Syzygium cormiflorum.jpg' style='max-width: 150px; max-height: 120px;' />
Syzygium divaricatum,Cassowary Satinash,https://apps.lucidcentral.org/rainforest/text/entities/syzygium_divaricatum.htm,Syzygium divaricatum (Cassowary Satinash),#A01813,<i class='fa fa-circle' style='color: #A01813; margin-right: 5px;'></i><i>Syzygium divaricatum</i><br>(Cassowary Satinash)</span><br><img src='Syzygium divaricatum.jpg' style='max-width: 150px; max-height: 120px;' />
